,Date,MEAN SLR RCP8.5_DEM_MANGROVE,MEAN SLR RCP8.5_DEM_TIDAL_FLAT,MEAN SLR RCP8.5_DEM_REEF,MEAN SLR RCP8.5_PROTECTED_DEM_MANGROVE,MEAN SLR RCP8.5_PROTECTED_DEM_TIDAL_FLAT,MEAN SLR RCP8.5_PROTECTED_DEM_REEF,MEAN SLR RCP4.5_PROTECTED_DEM_MANGROVE,MEAN SLR RCP4.5_PROTECTED_DEM_TIDAL_FLAT,MEAN SLR RCP4.5_PROTECTED_DEM_REEF,MEAN SLR RCP4.5_DEM_MANGROVE,MEAN SLR RCP4.5_DEM_TIDAL_FLAT,MEAN SLR RCP4.5_DEM_REEF,MEAN SLR RCP8.5_ADEM_MANGROVE,MEAN SLR RCP8.5_ADEM_TIDAL_FLAT,MEAN SLR RCP8.5_ADEM_REEF,MEAN SLR RCP8.5_PROTECTED_ADEM_MANGROVE,MEAN SLR RCP8.5_PROTECTED_ADEM_TIDAL_FLAT,MEAN SLR RCP8.5_PROTECTED_ADEM_REEF,MEAN SLR RCP4.5_PROTECTED_ADEM_MANGROVE,MEAN SLR RCP4.5_PROTECTED_ADEM_TIDAL_FLAT,MEAN SLR RCP4.5_PROTECTED_ADEM_REEF,MEAN SLR RCP4.5_ADEM_MANGROVE,MEAN SLR RCP4.5_ADEM_TIDAL_FLAT,MEAN SLR RCP4.5_ADEM_REEF,MEAN SLR RCP8.5_CONCEPT_PLAN_MANGROVE,MEAN SLR RCP8.5_CONCEPT_PLAN_TIDAL_FLAT,MEAN SLR RCP8.5_CONCEPT_PLAN_REEF,MEAN SLR RCP8.5_PROTECTED_CONCEPT_PLAN_MANGROVE,MEAN SLR RCP8.5_PROTECTED_CONCEPT_PLAN_TIDAL_FLAT,MEAN SLR RCP8.5_PROTECTED_CONCEPT_PLAN_REEF,MEAN SLR RCP4.5_PROTECTED_CONCEPT_PLAN_MANGROVE,MEAN SLR RCP4.5_PROTECTED_CONCEPT_PLAN_TIDAL_FLAT,MEAN SLR RCP4.5_PROTECTED_CONCEPT_PLAN_REEF,MEAN SLR RCP4.5_CONCEPT_PLAN_MANGROVE,MEAN SLR RCP4.5_CONCEPT_PLAN_TIDAL_FLAT,MEAN SLR RCP4.5_CONCEPT_PLAN_REEF
0,0,1057.07,703.83,1015.79,1057.07,703.83,1015.79,1057.07,703.83,1015.79,1057.07,703.83,1015.79,601.82,1373.89,251.89,601.82,1373.89,251.89,601.82,1373.89,251.89,601.82,1373.89,251.89,714.0537,922.489,210.3084,377.87,1050.79,217.13,377.87,1050.79,217.13,377.87,1050.79,217.13
1,2011,1338.992,726.0451,964.5596,1216.6825,726.0451,964.5596,1216.6825,726.0451,964.5596,1338.992,726.0451,964.5596,630.9314,2388.3053,248.1368,630.9314,1350.2874,248.1368,630.9314,1350.2874,248.1368,630.9314,2388.3053,248.1368,736.4566,2492.2353,208.2221,412.0973,1008.3427,214.8789,412.0973,1008.3427,214.8789,412.0973,2591.5987,214.8789
2,2025,1149.3062,965.739,950.0159,1052.5781,935.0633,950.0159,1053.2882,935.4463,950.4044,1149.7602,965.9767,950.4044,904.7393,2324.097,246.8813,879.8484,1309.786,246.8813,881.6808,1315.9565,247.3714,906.0168,2330.2611,247.3714,819.1676,2448.2719,206.3502,635.2599,992.2497,213.9591,635.1873,993.2372,214.0876,667.1593,2547.5867,214.0876
3,2050,1077.9632,1024.0808,923.3182,972.5745,990.6251,923.6282,974.5483,991.612,924.9914,1079.0864,1024.5618,924.6914,970.832,2263.9323,242.6728,943.5176,1263.8013,242.6728,944.3278,1280.8342,244.7698,970.2416,2281.8605,244.7698,829.0321,2412.8466,201.915,702.6837,966.237,210.5145,701.8841,969.2148,210.9869,736.179,2507.1373,210.9869
4,2075,3846.2073,1017.908,888.6953,952.5096,980.8805,889.3931,958.4443,988.4258,896.4805,3850.8829,1023.9563,895.7905,974.9437,2190.4157,230.7408,944.386,1205.9987,230.7408,940.5963,1239.7892,239.9251,968.7373,2226.5609,239.9251,846.2589,2361.4083,191.8356,720.8791,932.4522,201.7052,716.1647,944.5143,205.6122,748.1749,2457.6453,205.6122
5,2100,3831.4301,1024.0803,850.883,926.2653,983.9986,851.9386,936.3881,987.6816,865.9662,3835.7336,1025.3534,864.9065,981.5569,2116.2189,216.175,947.4725,1147.5951,216.175,943.0852,1197.002,229.2316,973.3536,2169.3112,229.2316,874.4635,2314.0283,181.2919,742.6895,899.1377,193.0567,729.3479,918.6833,198.709,763.4688,2411.6438,198.709
6,Habitat Category,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef,Mangrove,Tidal Flat,Reef
7,RCP Level,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP8.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5,RCP4.5
8,Source,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,ADEM,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN,CONCEPT_PLAN
9,Protected,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False
